IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
175.29.22.60,21034,true,TPE,亚太,台北,47 ms,25728 kB/s
175.29.22.58,21034,true,HKG,亚太,香港,47 ms,25719 kB/s
175.29.22.58,31035,true,HKG,亚太,香港,46 ms,25642 kB/s
175.29.22.55,21035,true,HKG,亚太,香港,66 ms,25616 kB/s
175.29.22.133,21031,true,HKG,亚太,香港,48 ms,25612 kB/s
175.29.22.104,21035,true,HKG,亚太,香港,48 ms,25559 kB/s
175.29.23.123,31036,true,TPE,亚太,台北,60 ms,25550 kB/s
175.29.22.39,31034,true,TPE,亚太,台北,47 ms,25546 kB/s
175.29.22.104,31034,true,TPE,亚太,台北,47 ms,25504 kB/s
175.29.22.73,21036,true,TPE,亚太,台北,45 ms,25453 kB/s
175.29.22.34,21036,true,TPE,亚太,台北,48 ms,25425 kB/s
175.29.22.114,21036,true,TPE,亚太,台北,47 ms,25399 kB/s
175.29.22.55,21036,true,TPE,亚太,台北,47 ms,25396 kB/s
175.29.22.65,21035,true,HKG,亚太,香港,48 ms,25390 kB/s
175.29.22.133,21036,true,TPE,亚太,台北,47 ms,25371 kB/s
175.29.22.65,31034,true,TPE,亚太,台北,46 ms,25345 kB/s
175.29.22.104,31035,true,HKG,亚太,香港,47 ms,25337 kB/s
175.29.22.88,31035,true,HKG,亚太,香港,47 ms,25302 kB/s
175.29.22.67,31039,true,HKG,亚太,香港,47 ms,25231 kB/s
175.29.22.67,21036,true,TPE,亚太,台北,49 ms,25211 kB/s
175.29.22.133,31039,true,HKG,亚太,香港,47 ms,25189 kB/s
175.29.22.80,21033,true,SIN,亚太,新加坡,44 ms,25117 kB/s
175.29.22.70,21039,true,HKG,亚太,香港,49 ms,25111 kB/s
175.29.22.43,21036,true,TPE,亚太,台北,47 ms,25100 kB/s
175.29.22.60,21035,true,HKG,亚太,香港,49 ms,25090 kB/s
175.29.22.120,31034,true,TPE,亚太,台北,59 ms,25072 kB/s
175.29.22.89,21034,true,TPE,亚太,台北,47 ms,25040 kB/s
175.29.22.65,21036,true,TPE,亚太,台北,46 ms,25006 kB/s
175.29.22.66,31034,true,TPE,亚太,台北,47 ms,24978 kB/s
175.29.22.80,31039,true,HKG,亚太,香港,47 ms,24919 kB/s
175.29.22.85,31034,true,TPE,亚太,台北,47 ms,24879 kB/s
175.29.22.29,31035,true,HKG,亚太,香港,48 ms,24876 kB/s
175.29.22.98,21034,true,TPE,亚太,台北,45 ms,24873 kB/s
175.29.22.108,21034,true,TPE,亚太,台北,47 ms,24860 kB/s
175.29.22.127,31035,true,HKG,亚太,香港,50 ms,24774 kB/s
175.29.22.97,21035,true,HKG,亚太,香港,44 ms,24746 kB/s
175.29.22.92,31035,true,HKG,亚太,香港,47 ms,24603 kB/s
175.29.22.53,21036,true,TPE,亚太,台北,48 ms,24574 kB/s
175.29.22.114,21035,true,HKG,亚太,香港,49 ms,24395 kB/s
175.29.22.77,31035,true,HKG,亚太,香港,48 ms,24367 kB/s
175.29.22.90,21039,true,HKG,亚太,香港,47 ms,24330 kB/s
175.29.22.82,21035,true,HKG,亚太,香港,47 ms,24324 kB/s
175.29.22.82,31034,true,TPE,亚太,台北,46 ms,24277 kB/s
175.29.22.70,31034,true,TPE,亚太,台北,48 ms,24181 kB/s
175.29.22.101,21032,true,SIN,亚太,新加坡,47 ms,24133 kB/s
175.29.22.133,31034,true,TPE,亚太,台北,47 ms,24090 kB/s
175.29.22.124,31036,true,TPE,亚太,台北,46 ms,24037 kB/s
175.29.22.77,31034,true,TPE,亚太,台北,48 ms,23996 kB/s
175.29.22.43,31036,true,TPE,亚太,台北,46 ms,23985 kB/s
175.29.22.158,21039,true,HKG,亚太,香港,61 ms,23973 kB/s
175.29.22.39,31036,true,TPE,亚太,台北,46 ms,23882 kB/s
175.29.22.80,31035,true,HKG,亚太,香港,47 ms,23716 kB/s
175.29.22.120,31035,true,HKG,亚太,香港,47 ms,23714 kB/s
175.29.22.90,31035,true,HKG,亚太,香港,46 ms,23700 kB/s
175.29.22.34,31036,true,TPE,亚太,台北,47 ms,23668 kB/s
175.29.22.86,21039,true,HKG,亚太,香港,46 ms,23418 kB/s
175.29.22.133,31030,true,HKG,亚太,香港,46 ms,23247 kB/s
175.29.22.134,31036,true,TPE,亚太,台北,47 ms,23130 kB/s
175.29.22.17,21039,true,HKG,亚太,香港,48 ms,22986 kB/s
175.29.22.80,21035,true,HKG,亚太,香港,47 ms,22652 kB/s
175.29.22.97,31035,true,HKG,亚太,香港,46 ms,22470 kB/s
175.29.22.63,21027,true,NRT,亚太,日本东京,47 ms,22396 kB/s
175.29.22.89,21036,true,TPE,亚太,台北,49 ms,22361 kB/s
175.29.22.57,21035,true,HKG,亚太,香港,62 ms,22171 kB/s
175.29.22.111,21035,true,HKG,亚太,香港,47 ms,21977 kB/s
175.29.22.63,31035,true,HKG,亚太,香港,59 ms,21625 kB/s
175.29.22.17,21036,true,TPE,亚太,台北,48 ms,21362 kB/s
175.29.22.17,21034,true,TPE,亚太,台北,47 ms,21034 kB/s
175.29.22.35,21039,true,HKG,亚太,香港,60 ms,20917 kB/s
175.29.22.101,21036,true,TPE,亚太,台北,48 ms,20897 kB/s
175.29.22.53,21034,true,TPE,亚太,台北,47 ms,20818 kB/s
175.29.22.158,21033,true,SIN,亚太,新加坡,48 ms,20771 kB/s
175.29.22.58,21035,true,HKG,亚太,香港,48 ms,20143 kB/s
175.29.22.17,31034,true,TPE,亚太,台北,46 ms,19784 kB/s
175.29.22.86,21034,true,TPE,亚太,台北,41 ms,19756 kB/s
175.29.22.92,31034,true,TPE,亚太,台北,47 ms,19650 kB/s
175.29.22.39,21036,true,TPE,亚太,台北,46 ms,19635 kB/s
175.29.22.124,21028,true,NRT,亚太,日本东京,47 ms,18874 kB/s
175.29.22.17,31036,true,TPE,亚太,台北,48 ms,18581 kB/s
175.29.22.134,31034,true,TPE,亚太,台北,48 ms,18392 kB/s
175.29.23.123,31022,true,LAX,北美洲,美国洛杉矶,47 ms,18233 kB/s
175.29.22.55,21020,true,LAX,北美洲,美国洛杉矶,46 ms,18127 kB/s
175.29.22.65,21022,true,LAX,北美洲,美国洛杉矶,46 ms,18002 kB/s
175.29.22.43,21022,true,LAX,北美洲,美国洛杉矶,46 ms,17710 kB/s
175.29.22.70,21022,true,LAX,北美洲,美国洛杉矶,44 ms,17405 kB/s
175.29.22.17,31035,true,HKG,亚太,香港,46 ms,17276 kB/s
175.29.22.92,21022,true,LAX,北美洲,美国洛杉矶,59 ms,16960 kB/s
175.29.22.35,31027,true,NRT,亚太,日本东京,48 ms,16758 kB/s
175.29.22.124,21034,true,TPE,亚太,台北,47 ms,16559 kB/s
175.29.22.85,21022,true,LAX,北美洲,美国洛杉矶,50 ms,16414 kB/s
175.29.22.73,21022,true,LAX,北美洲,美国洛杉矶,46 ms,16360 kB/s
175.29.22.60,31022,true,LAX,北美洲,美国洛杉矶,47 ms,16278 kB/s
175.29.22.77,31036,true,TPE,亚太,台北,48 ms,16109 kB/s
175.29.22.76,31026,true,BOM,亚太,印度孟买,48 ms,15765 kB/s
175.29.22.98,21022,true,LAX,北美洲,美国洛杉矶,48 ms,15575 kB/s
175.29.22.73,31034,true,TPE,亚太,台北,47 ms,15259 kB/s
175.29.22.57,31034,true,TPE,亚太,台北,61 ms,15118 kB/s
175.29.22.43,31022,true,LAX,北美洲,美国洛杉矶,47 ms,14855 kB/s
175.29.22.76,21034,true,TPE,亚太,台北,46 ms,14577 kB/s
175.29.22.104,21020,true,LAX,北美洲,美国洛杉矶,47 ms,14547 kB/s
175.29.22.67,21022,true,LAX,北美洲,美国洛杉矶,46 ms,14043 kB/s
175.29.22.120,21024,true,BUF,北美洲,美国布法罗,48 ms,13849 kB/s
175.29.22.82,21026,true,BOM,亚太,印度孟买,49 ms,13398 kB/s
175.29.22.82,21020,true,LAX,北美洲,美国洛杉矶,48 ms,13210 kB/s
175.29.22.83,31022,true,LAX,北美洲,美国洛杉矶,60 ms,12712 kB/s
175.29.22.90,31022,true,LAX,北美洲,美国洛杉矶,49 ms,12557 kB/s
175.29.22.124,31022,true,LAX,北美洲,美国洛杉矶,48 ms,12220 kB/s
175.29.22.76,21020,true,LAX,北美洲,美国洛杉矶,46 ms,12171 kB/s
175.29.22.34,31038,true,NRT,亚太,日本东京,47 ms,11848 kB/s
175.29.22.76,21024,true,BUF,北美洲,美国布法罗,45 ms,11806 kB/s
175.29.22.101,31020,true,LAX,北美洲,美国洛杉矶,48 ms,11690 kB/s
175.29.22.58,31026,true,BOM,亚太,印度孟买,47 ms,11658 kB/s
175.29.22.43,21038,true,KIX,亚太,大阪,47 ms,11626 kB/s
175.29.22.124,21038,true,NRT,亚太,日本东京,47 ms,11503 kB/s
175.29.22.101,31026,true,BOM,亚太,印度孟买,48 ms,11442 kB/s
175.29.22.55,31038,true,NRT,亚太,日本东京,48 ms,11398 kB/s
175.29.22.72,21020,true,LAX,北美洲,美国洛杉矶,49 ms,11251 kB/s
175.29.22.47,21020,true,LAX,北美洲,美国洛杉矶,47 ms,11207 kB/s
175.29.22.57,21022,true,LAX,北美洲,美国洛杉矶,47 ms,11122 kB/s
175.29.22.158,21022,true,LAX,北美洲,美国洛杉矶,62 ms,11084 kB/s
175.29.23.123,31026,true,BOM,亚太,印度孟买,48 ms,11060 kB/s
175.29.22.58,31020,true,LAX,北美洲,美国洛杉矶,40 ms,11010 kB/s
175.29.22.72,31026,true,BOM,亚太,印度孟买,49 ms,10853 kB/s
175.29.22.67,31022,true,LAX,北美洲,美国洛杉矶,48 ms,10813 kB/s
175.29.22.65,31026,true,BOM,亚太,印度孟买,48 ms,10715 kB/s
175.29.22.72,31020,true,LAX,北美洲,美国洛杉矶,47 ms,10663 kB/s
175.29.22.98,21026,true,BOM,亚太,印度孟买,46 ms,10519 kB/s
175.29.22.85,31026,true,BOM,亚太,印度孟买,46 ms,10468 kB/s
175.29.22.134,31020,true,LAX,北美洲,美国洛杉矶,48 ms,10357 kB/s
175.29.22.101,21022,true,LAX,北美洲,美国洛杉矶,47 ms,10223 kB/s
175.29.22.127,31024,true,BUF,北美洲,美国布法罗,46 ms,10021 kB/s
175.29.22.88,21026,true,BOM,亚太,印度孟买,67 ms,9976 kB/s
175.29.22.114,21026,true,BOM,亚太,印度孟买,46 ms,9952 kB/s
175.29.22.39,21020,true,LAX,北美洲,美国洛杉矶,46 ms,9793 kB/s
175.29.22.158,21026,true,BOM,亚太,印度孟买,46 ms,9708 kB/s
175.29.22.49,31025,true,LHR,欧洲,英国伦敦,47 ms,9573 kB/s
175.29.22.104,21023,true,YYZ,北美洲,加拿大多伦多,47 ms,9463 kB/s
175.29.22.77,21026,true,BOM,亚太,印度孟买,47 ms,9437 kB/s
175.29.22.34,31020,true,LAX,北美洲,美国洛杉矶,48 ms,9113 kB/s
175.29.22.34,31025,true,LHR,欧洲,英国伦敦,59 ms,9036 kB/s
175.29.22.57,31022,true,LAX,北美洲,美国洛杉矶,36 ms,8905 kB/s
175.29.22.97,21025,true,LHR,欧洲,英国伦敦,47 ms,8848 kB/s
175.29.22.29,21020,true,LAX,北美洲,美国洛杉矶,44 ms,8835 kB/s
175.29.22.80,21026,true,BOM,亚太,印度孟买,46 ms,8709 kB/s
175.29.22.82,31026,true,BOM,亚太,印度孟买,47 ms,8678 kB/s
175.29.22.65,21026,true,BOM,亚太,印度孟买,47 ms,8625 kB/s
175.29.22.58,31025,true,LHR,欧洲,英国伦敦,48 ms,8450 kB/s
175.29.22.57,31020,true,LAX,北美洲,美国洛杉矶,48 ms,8301 kB/s
175.29.22.92,21025,true,LHR,欧洲,英国伦敦,46 ms,8264 kB/s
175.29.22.66,31025,true,LHR,欧洲,英国伦敦,47 ms,8194 kB/s
175.29.22.80,21020,true,LAX,北美洲,美国洛杉矶,47 ms,8091 kB/s
175.29.22.60,21026,true,BOM,亚太,印度孟买,66 ms,8055 kB/s
175.29.22.58,21026,true,BOM,亚太,印度孟买,47 ms,8001 kB/s
175.29.22.66,21026,true,BOM,亚太,印度孟买,44 ms,7796 kB/s
175.29.22.49,31023,true,BUF,北美洲,美国布法罗,49 ms,7741 kB/s
175.29.22.83,31023,true,BUF,北美洲,美国布法罗,49 ms,7685 kB/s
175.29.22.17,21023,true,BUF,北美洲,美国布法罗,46 ms,7493 kB/s
175.29.22.53,21023,true,BUF,北美洲,美国布法罗,46 ms,7432 kB/s
175.29.22.57,31025,true,LHR,欧洲,英国伦敦,48 ms,7304 kB/s
175.29.22.89,31038,true,KIX,亚太,大阪,46 ms,7297 kB/s
175.29.22.82,21038,true,NRT,亚太,日本东京,49 ms,7296 kB/s
175.29.22.77,31025,true,LHR,欧洲,英国伦敦,47 ms,7091 kB/s
175.29.22.29,31021,true,ATL,北美洲,亚特兰大,48 ms,6980 kB/s
175.29.22.92,31021,true,ATL,北美洲,亚特兰大,49 ms,6970 kB/s
175.29.22.63,31024,true,BUF,北美洲,美国布法罗,47 ms,6960 kB/s
175.29.22.72,31026,true,BOM,亚太,印度孟买,47 ms,6951 kB/s
175.29.22.63,21023,true,BUF,北美洲,美国布法罗,48 ms,6865 kB/s
175.29.22.67,21026,true,BOM,亚太,印度孟买,50 ms,6813 kB/s
175.29.22.65,21025,true,LHR,欧洲,英国伦敦,47 ms,6786 kB/s
175.29.22.47,21038,true,NRT,亚太,日本东京,48 ms,6642 kB/s
175.29.22.108,21021,true,ATL,北美洲,亚特兰大,49 ms,6590 kB/s
175.29.22.88,31038,true,KIX,亚太,大阪,47 ms,6550 kB/s
175.29.22.63,21024,true,YYZ,北美洲,加拿大多伦多,49 ms,6530 kB/s
175.29.22.92,21038,true,KIX,亚太,大阪,48 ms,6340 kB/s
175.29.22.86,21026,true,BOM,亚太,印度孟买,48 ms,6306 kB/s
175.29.22.17,31023,true,YYZ,北美洲,加拿大多伦多,48 ms,6281 kB/s
175.29.22.76,31021,true,ATL,北美洲,亚特兰大,48 ms,6219 kB/s
175.29.22.73,21025,true,LHR,欧洲,英国伦敦,47 ms,6122 kB/s
175.29.22.133,31038,true,NRT,亚太,日本东京,45 ms,6104 kB/s
175.29.22.82,31025,true,LHR,欧洲,英国伦敦,48 ms,6090 kB/s
175.29.22.60,31021,true,ATL,北美洲,亚特兰大,47 ms,5940 kB/s
175.29.22.158,31038,true,KIX,亚太,大阪,49 ms,5748 kB/s
175.29.22.55,31025,true,LHR,欧洲,英国伦敦,48 ms,5701 kB/s
175.29.22.124,31025,true,LHR,欧洲,英国伦敦,59 ms,5685 kB/s
175.29.22.80,31038,true,KIX,亚太,大阪,49 ms,5632 kB/s
175.29.22.63,21025,true,LHR,欧洲,英国伦敦,47 ms,5486 kB/s
175.29.22.34,21021,true,ATL,北美洲,亚特兰大,47 ms,5409 kB/s
175.29.22.80,21038,true,NRT,亚太,日本东京,48 ms,5228 kB/s
175.29.22.34,21025,true,LHR,欧洲,英国伦敦,45 ms,5139 kB/s
175.29.23.123,21021,true,ATL,北美洲,亚特兰大,48 ms,5094 kB/s
175.29.22.127,31026,true,BOM,亚太,印度孟买,57 ms,4906 kB/s
175.29.22.35,31026,true,BOM,亚太,印度孟买,48 ms,4804 kB/s
175.29.22.67,31021,true,ATL,北美洲,亚特兰大,46 ms,4763 kB/s
175.29.22.77,31021,true,ATL,北美洲,亚特兰大,49 ms,4687 kB/s
175.29.22.73,31021,true,ATL,北美洲,亚特兰大,46 ms,4663 kB/s
175.29.22.67,31025,true,LHR,欧洲,英国伦敦,47 ms,4611 kB/s
175.29.22.49,31021,true,ATL,北美洲,亚特兰大,47 ms,4560 kB/s
175.29.23.123,31021,true,ATL,北美洲,亚特兰大,46 ms,4439 kB/s
175.29.22.89,31021,true,ATL,北美洲,亚特兰大,48 ms,4434 kB/s
175.29.22.104,31021,true,ATL,北美洲,亚特兰大,46 ms,4403 kB/s
175.29.22.60,21021,true,ATL,北美洲,亚特兰大,58 ms,4314 kB/s
175.29.22.65,31021,true,ATL,北美洲,亚特兰大,48 ms,4275 kB/s
175.29.22.58,31038,true,NRT,亚太,日本东京,46 ms,4249 kB/s
175.29.22.80,21021,true,ATL,北美洲,亚特兰大,46 ms,4241 kB/s
175.29.22.34,31021,true,ATL,北美洲,亚特兰大,47 ms,4237 kB/s
175.29.22.134,31021,true,ATL,北美洲,亚特兰大,46 ms,4222 kB/s
175.29.22.57,21023,true,YYZ,北美洲,加拿大多伦多,49 ms,4123 kB/s
175.29.22.120,21021,true,ATL,北美洲,亚特兰大,49 ms,4072 kB/s
175.29.22.35,31021,true,ATL,北美洲,亚特兰大,47 ms,4048 kB/s
175.29.22.111,31038,true,NRT,亚太,日本东京,47 ms,3872 kB/s
175.29.22.70,21025,true,LHR,欧洲,英国伦敦,46 ms,3500 kB/s
175.29.22.133,31026,true,BOM,亚太,印度孟买,48 ms,3018 kB/s
175.29.22.66,31021,true,ATL,北美洲,亚特兰大,47 ms,2843 kB/s
175.29.22.127,31021,true,ATL,北美洲,亚特兰大,49 ms,2736 kB/s
175.29.22.133,21026,true,BOM,亚太,印度孟买,48 ms,2689 kB/s
175.29.22.86,21025,true,LHR,欧洲,英国伦敦,49 ms,2552 kB/s
175.29.22.101,31021,true,ATL,北美洲,亚特兰大,48 ms,2334 kB/s
175.29.22.17,31038,true,KIX,亚太,大阪,48 ms,2285 kB/s
175.29.22.70,21021,true,ATL,北美洲,亚特兰大,49 ms,1907 kB/s
175.29.22.134,31025,true,LHR,欧洲,英国伦敦,46 ms,1704 kB/s
175.29.22.86,31026,true,BOM,亚太,印度孟买,47 ms,1693 kB/s
